Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
cipher.republican,available,86,29%,6,Mathematics,,,
attendant.republican,available,86,5%,9,"Healthcare,Hospitality,Transportation",,,
intent.republican,available,86,25%,6,"Business,Education,Technology",,,
aboriginal.republican,available,86,10%,10,Humanities,,,
xix.republican,available,86,11%,3,Mathematics,,,
extempore.republican,available,86,3%,9,Entertainment,,,
xiv.republican,available,86,12%,3,Mathematics,,,
recondite.republican,available,86,4%,9,"Arts,Humanities,Science",,,
fourteen.republican,available,84,8%,8,Mathematics,,,
twentytwo.republican,available,84,11%,10,Mathematics,,,
twentyone.republican,available,84,13%,10,Mathematics,,,
thirteen.republican,available,84,10%,8,Mathematics,,,
accessory.republican,available,84,8%,9,"Fashion,Retail,Technology",,,
deviate.republican,available,84,12%,7,"Medicine,Science",,,
acting.republican,available,84,12%,6,Entertainment,,,
adjustable.republican,available,84,3%,10,"Manufacturing,Retail,Technology",,,
seventeen.republican,available,84,7%,9,Mathematics,,,
sharp.republican,available,84,34%,5,"Arts,Fashion",,,
thousand.republican,available,84,8%,8,Mathematics,,,
nineteen.republican,available,84,8%,8,Mathematics,,,
grand.republican,available,84,25%,5,"Finance,General",,,
impromptu.republican,available,82,16%,9,Entertainment,,,
absorbent.republican,available,82,3%,9,"Healthcare,Manufacturing,Retail",,,
abenaki.republican,available,82,2%,7,Geography,,,
abroach.republican,available,82,1%,7,Food and Beverage,,,
enduring.republican,available,82,9%,8,"Health and Fitness,Religion",,,
altered.republican,available,82,9%,7,"Medicine,Science",,,
abdominal.republican,available,82,1%,9,"Health and Fitness,Medicine",,,
dozen.republican,available,82,10%,5,Mathematics,,,
fivesome.republican,available,82,1%,8,Sports,,,
abkhaz.republican,available,82,1%,6,Geography,,,
cleansing.republican,available,82,3%,9,Health and Fitness,,,
decade.republican,available,82,10%,6,Mathematics,,,
worshipful.republican,available,80,1%,10,"Education,Healthcare,Religion",,,
nine.republican,available,80,24%,4,"General,Mathematics",,,
seventh.republican,available,80,10%,7,Mathematics,,,
absolute.republican,available,80,25%,8,"Engineering,Mathematics,Science",,,
sequent.republican,available,80,7%,7,"Healthcare,Insurance,Transportation",,,
abundant.republican,available,80,19%,8,"Agriculture,Manufacturing,Retail",,,
adoptable.republican,available,80,3%,9,"Education,Healthcare",,,
forty.republican,available,80,9%,5,Mathematics,,,
yard.republican,available,80,26%,4,"Construction,General",,,
dorsal.republican,available,80,6%,6,"Medicine,Science",,,
two.republican,available,80,24%,3,Mathematics,,,
able.republican,available,80,29%,4,"Business,Education,General,Technology",,,
twenty.republican,available,80,12%,6,Mathematics,,,
trio.republican,available,80,21%,4,Entertainment,,,
wiz.republican,available,80,30%,3,"Business,Education,Technology",,,
absorbable.republican,available,80,0%,10,"Healthcare,Pharmaceuticals,Science",,,
absurd.republican,available,80,16%,6,"Arts,Entertainment,Media",,,
superstar.republican,available,80,18%,9,Entertainment,,,
capable.republican,available,80,12%,7,"Business,Education,Technology",,,
first.republican,resell,80,36%,5,"General,Mathematics",28/12/2024 09:38,28/12/2025 09:38,"Sav.com, LLC"
some.republican,available,80,32%,4,"Business,Media,Retail",,,
athletic.republican,available,78,15%,8,"Health and Fitness,Sports",,,
sixtynine.republican,available,78,8%,10,Mathematics,,,
accessible.republican,available,78,21%,10,"Healthcare,Retail,Technology",,,
honestly.republican,available,78,9%,8,"Business,Law",,,
accidental.republican,available,78,11%,10,"Healthcare,Insurance,Transportation",,,
recognised.republican,available,78,3%,10,"Business,Education,Technology",,,
absorptive.republican,available,78,1%,10,"Healthcare,Manufacturing,Retail",,,
recognized.republican,available,78,3%,10,"Business,Education,Technology",,,
adrenal.republican,available,78,4%,7,"Education,Healthcare,Science",,,
twentysix.republican,available,78,8%,10,Mathematics,,,
abkhasian.republican,available,78,1%,9,Geography,,,
acceptant.republican,available,78,1%,9,"Education,Healthcare",,,
accurate.republican,available,78,16%,8,"Engineering,Mathematics,Science",,,
acceptable.republican,available,78,5%,10,"Business,Hospitality,Retail",,,
abkhazian.republican,available,78,1%,9,Geography,,,
accepted.republican,available,78,6%,8,"Business,Education,Technology",,,
dormant.republican,available,78,4%,7,"Medicine,Science",,,
adjacent.republican,available,78,9%,8,"Construction,Real Estate,Retail",,,
low.republican,available,78,20%,3,"Business,Finance",,,
abounding.republican,available,78,2%,9,Agriculture,,,
adorable.republican,available,78,8%,8,"Entertainment,Fashion,Retail",,,
thirteenth.republican,available,76,4%,10,Mathematics,,,
adherent.republican,available,76,4%,8,"Politics,Religion",,,
firstrate.republican,available,76,6%,10,Business,,,
resultant.republican,available,76,2%,9,"Healthcare,Insurance,Transportation",,,
ancillary.republican,available,76,6%,9,"Healthcare,Manufacturing,Technology",,,
incidental.republican,available,76,4%,10,"Healthcare,Insurance,Transportation",,,
addable.republican,available,76,2%,7,"Engineering,Mathematics,Science",,,
acoustic.republican,available,76,14%,8,Science,,,
ventral.republican,available,76,3%,7,Science,,,
hundredth.republican,available,76,1%,9,Mathematics,,,
threed.republican,available,76,7%,7,Technology,,,
adaptive.republican,available,76,28%,8,"Business,Education,Technology",,,
adhesive.republican,available,76,7%,8,"Construction,Manufacturing,Technology",,,
fourteenth.republican,available,76,1%,10,Mathematics,,,
auxiliary.republican,available,76,7%,9,"Healthcare,Manufacturing,Technology",,,
thousandth.republican,available,76,1%,10,Mathematics,,,
abrasive.republican,available,76,6%,8,"Construction,Manufacturing",,,
improvise.republican,available,76,4%,9,Entertainment,,,
energizing.republican,available,76,3%,10,"Food and Beverage,Health and Fitness,Travel",,,
ague.republican,available,76,2%,4,"Geography,Medicine,Science",,,
adipose.republican,available,76,2%,7,"Healthcare,Science",,,
adaptable.republican,available,76,9%,9,"Business,Education,Technology",,,
eighteen.republican,available,76,7%,8,Mathematics,,,
nineteenth.republican,available,76,3%,10,Mathematics,,,
fifteenth.republican,available,76,2%,9,Mathematics,,,
obscene.republican,available,76,5%,7,"Entertainment,Media",,,
broad.republican,available,74,13%,5,"Entertainment,General,Media",,,
adenoid.republican,available,74,1%,7,"Health and Fitness,Medicine,Science",,,
mavin.republican,available,74,7%,5,"Entertainment,Fashion,Technology",,,
admirable.republican,available,74,5%,9,"Business,Education,Healthcare",,,
skilful.republican,available,74,3%,7,"Education,Health and Fitness,Sports",,,
activated.republican,available,74,9%,9,"Healthcare,Manufacturing,Technology",,,
realizable.republican,available,74,1%,10,"Business,Education,Technology",,,
sensation.republican,available,74,7%,9,"Entertainment,Media,Sports",,,
achievable.republican,available,74,4%,10,"Business,Education,Technology",,,
single.republican,available,74,19%,6,Sports,,,
adamant.republican,available,74,14%,7,Religion,,,
acuate.republican,available,74,2%,6,"Engineering,Medicine,Science",,,
aberrant.republican,available,74,6%,8,"Medicine,Science",,,
abnormal.republican,available,74,16%,8,"Medicine,Science",,,
cleared.republican,available,74,7%,7,"Healthcare,Law,Transportation",,,
accepting.republican,available,74,3%,9,"Education,Healthcare",,,
manageable.republican,available,74,4%,10,"Business,Education,Technology",,,
playing.republican,available,74,12%,7,Entertainment,,,
supra.republican,available,74,25%,5,"Medicine,Science",,,
adapted.republican,available,74,6%,7,"Healthcare,Manufacturing,Technology",,,
adrenergic.republican,available,74,1%,10,"Education,Healthcare,Science",,,
adjectival.republican,available,72,1%,10,Education,,,
ternary.republican,available,72,7%,7,Mathematics,,,
ablaze.republican,available,72,6%,6,Entertainment,,,
trey.republican,available,72,14%,4,Sports,,,
adaptative.republican,available,72,1%,10,"Business,Education,Technology",,,
accusative.republican,available,72,0%,10,"Humanities,Law",,,
champion.republican,available,72,28%,8,"Entertainment,Health and Fitness,Sports",,,
trinity.republican,available,72,18%,7,Religion,,,
improvize.republican,available,72,1%,9,Entertainment,,,
lovely.republican,available,72,26%,6,"Entertainment,Fashion,Retail",,,
absorbed.republican,available,72,2%,8,"Entertainment,Media,Technology",,,
absolutist.republican,available,72,1%,10,"Humanities,Law,Politics",,,
eightieth.republican,available,72,1%,9,Mathematics,,,
ninetieth.republican,available,72,1%,9,Mathematics,,,
liv.republican,available,72,27%,3,Mathematics,,,
existent.republican,available,72,3%,8,"Mathematics,Science",,,
adjunctive.republican,available,72,1%,10,"Healthcare,Manufacturing,Technology",,,
aching.republican,available,72,4%,6,Healthcare,,,
abloom.republican,available,72,5%,6,Agriculture,,,
abreast.republican,available,72,2%,7,"Business,Technology",,,
accustomed.republican,available,72,1%,10,"Business,Education,Humanities",,,
sixtieth.republican,available,72,1%,8,Mathematics,,,
addicted.republican,available,72,9%,8,Healthcare,,,
adonic.republican,available,72,2%,6,"Arts,Education,Entertainment",,,
deep.republican,available,72,41%,4,"Engineering,Mathematics,Science",,,
seventieth.republican,available,72,1%,10,Mathematics,,,
engrossed.republican,available,72,1%,9,"Entertainment,Media,Technology",,,
adiabatic.republican,available,72,3%,9,"Engineering,Science",,,
lowdown.republican,available,70,6%,8,"Entertainment,Media",,,
recumbent.republican,available,70,2%,9,"Healthcare,Medicine,Science",,,
gymnastic.republican,available,70,3%,9,"Entertainment,Sports",,,
practiced.republican,available,70,3%,9,"Education,Health and Fitness,Sports",,,
acuminate.republican,available,70,1%,9,"Engineering,Medicine,Science",,,
consequent.republican,available,70,3%,10,"Business,Education,General,Technology",,,
abulic.republican,available,70,1%,6,Medicine,,,
unity.republican,available,70,40%,5,Mathematics,,,
tiptop.republican,available,70,24%,6,Fashion,,,
offhand.republican,available,70,2%,7,Entertainment,,,
skillful.republican,available,70,9%,8,"Education,Health and Fitness,Sports",,,
absorbing.republican,available,70,3%,9,"Entertainment,Media,Technology",,,
adjusted.republican,available,70,5%,8,"Manufacturing,Retail,Technology",,,
adamantine.republican,available,70,4%,10,Religion,,,
abradant.republican,available,70,1%,8,"Construction,Manufacturing",,,
admired.republican,available,70,5%,7,"Business,Education,Healthcare",,,
miserable.republican,available,70,4%,9,Humanities,,,
adored.republican,available,70,6%,6,"Entertainment,Fashion,Retail",,,
accumbent.republican,available,70,1%,9,"Healthcare,Medicine,Science",,,
stillborn.republican,available,70,2%,9,"Medicine,Science",,,
fiftieth.republican,available,68,0%,8,Mathematics,,,
aroused.republican,available,68,3%,7,"Entertainment,Health and Fitness",,,
sevener.republican,available,68,1%,7,Mathematics,,,
disciple.republican,available,68,14%,8,"Education,Religion",,,
licenced.republican,available,68,2%,8,"Business,Healthcare,Insurance",,,
overseas.republican,available,68,12%,8,"Hospitality,Travel",,,
aculeate.republican,available,68,1%,8,"Engineering,Medicine,Science",,,
abnaki.republican,available,68,1%,6,Geography,,,
ane.republican,available,68,12%,3,Mathematics,,,
ablative.republican,available,68,3%,8,Science,,,
stygian.republican,available,68,5%,7,Humanities,,,
foursome.republican,available,68,4%,8,Sports,,,
fortieth.republican,available,68,0%,8,Mathematics,,,
ennead.republican,available,68,5%,6,Mathematics,,,
achaian.republican,available,68,2%,7,Humanities,,,
accredited.republican,available,68,9%,10,"Business,Education,Healthcare",,,
licensed.republican,available,68,5%,8,"Business,Healthcare,Insurance",,,
septenary.republican,available,68,1%,9,Mathematics,,,
acerate.republican,available,68,1%,7,Science,,,
abducent.republican,available,68,0%,8,Medicine,,,
scurvy.republican,available,68,3%,6,Humanities,,,
abkhas.republican,available,68,0%,6,Geography,,,
aberdonian.republican,available,68,1%,10,Geography,,,
threesome.republican,available,68,5%,9,Entertainment,,,
octonary.republican,available,68,1%,8,Mathematics,,,
decorated.republican,available,68,3%,9,"Entertainment,Fashion,Retail",,,
activating.republican,available,68,3%,10,"Healthcare,Manufacturing,Technology",,,
achaean.republican,available,68,2%,7,Humanities,,,
vindicated.republican,available,68,2%,10,"Humanities,Law,Politics",,,
thirtieth.republican,available,68,1%,9,Mathematics,,,
acrobatic.republican,available,66,4%,9,"Entertainment,Sports",,,
according.republican,available,66,3%,9,"Business,Education,Technology",,,
teenager.republican,available,66,4%,8,"Education,Entertainment,Healthcare",,,
ninety.republican,available,66,11%,6,Mathematics,,,
latest.republican,available,66,18%,6,Technology,,,
xiii.republican,available,66,9%,4,Mathematics,,,
fifty.republican,available,66,12%,5,Mathematics,,,
acappella.republican,available,66,6%,10,Entertainment,,,
tenner.republican,available,66,5%,6,Finance,,,
deuce.republican,available,66,9%,5,Sports,,,
adopted.republican,available,66,4%,7,"Education,Healthcare",,,
xviii.republican,available,66,5%,5,Mathematics,,,
six.republican,available,66,26%,3,Mathematics,,,
xvii.republican,available,66,5%,4,Mathematics,,,
eighty.republican,available,66,6%,6,Mathematics,,,
xxvi.republican,available,66,3%,4,Mathematics,,,
xxv.republican,available,66,6%,3,Mathematics,,,
thirty.republican,available,66,8%,6,Mathematics,,,
buzzing.republican,available,66,7%,7,"Entertainment,Media,Technology",,,
exonerated.republican,available,66,2%,10,"Humanities,Law,Politics",,,
onec.republican,available,66,6%,5,Mathematics,,,
xii.republican,available,66,10%,3,Mathematics,,,
performing.republican,available,66,6%,10,Entertainment,,,
xxi.republican,available,66,10%,3,Mathematics,,,
clv.republican,available,66,10%,3,Mathematics,,,
four.republican,available,66,27%,4,Mathematics,,,
accessary.republican,available,66,1%,9,"Business,Law,Technology",,,
acervate.republican,available,66,1%,8,Science,,,
five.republican,available,66,26%,4,Mathematics,,,
century.republican,available,66,17%,7,Education,,,
xxii.republican,available,66,6%,4,Mathematics,,,
xvi.republican,available,66,5%,3,Mathematics,,,
abstinent.republican,available,66,1%,9,"Health and Fitness,Religion",,,
adorned.republican,available,66,5%,7,"Entertainment,Fashion,Retail",,,
modish.republican,available,66,5%,6,Fashion,,,
sextet.republican,available,66,1%,6,Entertainment,,,
maven.republican,available,66,30%,5,"Entertainment,Fashion,Technology",,,
adagio.republican,available,64,14%,6,Entertainment,,,
nondrinker.republican,available,64,1%,10,"Health and Fitness,Religion",,,
acentric.republican,available,64,2%,8,Science,,,
absolved.republican,available,64,1%,8,"Humanities,Law,Religion",,,
aflame.republican,available,64,3%,6,Entertainment,,,
accordant.republican,available,64,3%,9,"Arts,Entertainment",,,
deviant.republican,available,64,12%,7,"Medicine,Science",,,
scatty.republican,available,64,1%,6,"Arts,Entertainment,Media",,,
astringent.republican,available,64,1%,10,"Healthcare,Pharmaceuticals",,,
rising.republican,available,64,18%,6,"Construction,Manufacturing,Real Estate",,,
ccc.republican,available,64,38%,3,Mathematics,,,
wrapped.republican,available,62,13%,7,"Fashion,Hospitality,Retail",,,
accusing.republican,available,62,1%,8,Law,,,
orso.republican,available,62,9%,5,"Business,Media,Technology",,,
fortyfour.republican,available,62,6%,10,Mathematics,,,
aborigine.republican,available,62,1%,9,Humanities,,,
ensuant.republican,available,62,1%,7,"Healthcare,Insurance,Transportation",,,
troika.republican,available,62,8%,6,Politics,,,
pungent.republican,available,62,1%,7,Food and Beverage,,,
twodozen.republican,available,62,1%,9,Mathematics,,,
abo.republican,available,62,15%,3,Science,,,
sixteenth.republican,available,62,1%,9,Mathematics,,,
longdozen.republican,available,62,2%,10,Mathematics,,,
adoptive.republican,available,62,1%,8,"Education,Healthcare",,,
activistic.republican,available,62,1%,10,"Humanities,Politics",,,
admissible.republican,available,62,1%,10,"Education,Healthcare,Law",,,
roughly.republican,available,62,3%,7,"Business,Media,Technology",,,
eleventh.republican,available,62,5%,8,Mathematics,,,
quartet.republican,available,62,7%,7,"Arts,Entertainment",,,
acidic.republican,available,62,5%,6,"Food and Beverage,Science",,,
exculpated.republican,available,62,1%,10,"Humanities,Law,Politics",,,
aufait.republican,available,62,3%,7,"Fashion,Media",,,
nail.republican,available,62,16%,4,"Construction,Fashion,General,Retail",,,
accrued.republican,available,62,2%,7,"Banking,Finance,Insurance",,,
adjuvant.republican,available,62,5%,8,"Healthcare,Manufacturing,Technology",,,
eighteenth.republican,available,62,1%,10,Mathematics,,,
chiliad.republican,available,62,2%,7,Mathematics,,,
playacting.republican,available,62,1%,10,Entertainment,,,
activation.republican,available,62,16%,10,"Healthcare,Manufacturing,Technology",,,
cumulative.republican,available,62,2%,10,"Banking,Finance,Insurance",,,
abstemious.republican,available,60,0%,10,"Food and Beverage,Health and Fitness,Hospitality",,,
abstainer.republican,available,60,0%,9,"Health and Fitness,Religion",,,
clxxv.republican,available,60,1%,5,Mathematics,,,
aboveboard.republican,available,60,5%,10,"Business,Law",,,
clxxx.republican,available,60,1%,5,Mathematics,,,
idolised.republican,available,60,1%,8,"Entertainment,Fashion,Retail",,,
cxxxv.republican,available,60,2%,5,Mathematics,,,
xcl.republican,available,60,5%,3,Mathematics,,,
annexal.republican,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
clx.republican,available,60,10%,3,Mathematics,,,
eightysix.republican,available,60,7%,10,Mathematics,,,
acceptive.republican,available,60,1%,9,"Education,Healthcare",,,
clxx.republican,available,60,3%,4,Mathematics,,,
octet.republican,available,60,12%,5,Arts,,,
thou.republican,available,60,7%,4,Mathematics,,,
adnate.republican,available,60,1%,6,"Agriculture,Manufacturing,Retail",,,
tertiary.republican,available,60,4%,8,Education,,,
cxxv.republican,available,60,1%,4,Mathematics,,,
abashed.republican,available,60,1%,7,Humanities,,,
cxlv.republican,available,60,2%,4,Mathematics,,,
paunchy.republican,available,60,0%,7,"Health and Fitness,Medicine",,,
idolized.republican,available,60,3%,8,"Entertainment,Fashion,Retail",,,
adnexal.republican,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
cautionary.republican,available,60,1%,10,"Business,Education,Healthcare",,,
cxv.republican,available,60,4%,3,Mathematics,,,
cxx.republican,available,60,10%,3,Mathematics,,,
sixty.republican,available,60,13%,5,Mathematics,,,
cxxx.republican,available,60,4%,4,Mathematics,,,
cxl.republican,available,60,7%,3,Mathematics,,,
clxv.republican,available,60,1%,4,Mathematics,,,
tercet.republican,available,59,2%,6,"Arts,Entertainment,Media",,,
addible.republican,available,58,2%,7,"Engineering,Mathematics,Science",,,
closeto.republican,available,58,3%,8,"Business,Media,Technology",,,
lxxx.republican,available,58,2%,4,Mathematics,,,
abandoned.republican,available,58,10%,9,"Construction,Real Estate",,,
aucourant.republican,available,58,3%,10,"Fashion,Media",,,
octad.republican,available,58,5%,5,Mathematics,,,
abused.republican,available,58,5%,6,"Healthcare,Law",,,
pentad.republican,available,58,2%,6,Mathematics,,,
hexad.republican,available,58,4%,5,Mathematics,,,
alacarte.republican,available,58,11%,10,Food and Beverage,,,
quintet.republican,available,58,8%,7,"Arts,Entertainment",,,
fourth.republican,available,58,13%,6,Mathematics,,,
sextuplet.republican,available,58,1%,9,Healthcare,,,
sixer.republican,available,58,5%,5,Sports,,,
heptad.republican,available,58,1%,6,Mathematics,,,
centesimal.republican,available,58,1%,10,Mathematics,,,
sixtyone.republican,available,58,3%,9,Mathematics,,,
adient.republican,available,58,4%,6,"Medicine,Science",,,
fourscore.republican,available,58,4%,9,Mathematics,,,
accoutred.republican,available,58,1%,9,"Fashion,Manufacturing,Retail",,,
seven.republican,available,58,36%,5,Mathematics,,,
super.republican,available,58,47%,5,Business,,,
seventy.republican,available,58,7%,7,Mathematics,,,
adjustive.republican,available,58,1%,9,"Manufacturing,Retail,Technology",,,
niner.republican,available,58,5%,5,Mathematics,,,
lxxviii.republican,available,58,1%,7,Mathematics,,,
acyclic.republican,available,58,4%,7,"Engineering,Mathematics,Science",,,
acetic.republican,available,58,1%,6,"Food and Beverage,Science",,,
cypher.republican,available,58,29%,6,Mathematics,,,
enwrapped.republican,available,58,0%,9,"Entertainment,Fashion,Media",,,
accretive.republican,available,58,6%,9,"Banking,Finance,Insurance",,,
justabout.republican,available,58,3%,10,"Business,Media,Technology",,,
accented.republican,available,58,3%,8,"Arts,Entertainment",,,
abridged.republican,available,58,4%,8,Media,,,
tetrad.republican,available,58,5%,6,Mathematics,,,
eighter.republican,available,58,2%,7,Mathematics,,,
linear.republican,available,58,22%,6,"Engineering,Mathematics,Science",,,
abuzz.republican,available,58,5%,5,"Entertainment,Media,Technology",,,
fifth.republican,available,58,12%,5,Mathematics,,,
offhanded.republican,available,58,1%,9,Entertainment,,,
twelfth.republican,available,58,2%,7,Mathematics,,,
addressed.republican,available,58,3%,9,"Business,Technology,Telecommunications",,,
ache.republican,available,58,7%,4,Healthcare,,,
adhoc.republican,available,58,24%,6,"Business,Engineering,Technology",,,
actuarial.republican,available,58,8%,9,"Finance,Insurance,Mathematics",,,
xxix.republican,available,56,4%,4,Mathematics,,,
thirtyone.republican,available,56,5%,10,Mathematics,,,
xxxii.republican,available,56,1%,5,Mathematics,,,
abeyant.republican,available,56,1%,7,"Business,Law",,,
admissive.republican,available,56,1%,9,"Education,Healthcare,Hospitality",,,
xxvii.republican,available,56,3%,5,Mathematics,,,
xxxvii.republican,available,56,2%,6,Mathematics,,,
fiftysix.republican,available,56,4%,9,Mathematics,,,
fortytwo.republican,available,56,17%,9,Mathematics,,,
fiftyfour.republican,available,56,3%,10,Mathematics,,,
xxxiv.republican,available,56,1%,5,Mathematics,,,
xliii.republican,available,56,1%,5,Mathematics,,,
lii.republican,available,56,7%,3,Mathematics,,,
xxiii.republican,available,56,5%,5,Mathematics,,,
xxxviii.republican,available,56,1%,7,Mathematics,,,
aone.republican,available,56,15%,5,Food and Beverage,,,
thirtysix.republican,available,56,5%,10,Mathematics,,,
ilx.republican,available,56,5%,3,Mathematics,,,
lviii.republican,available,56,1%,5,Mathematics,,,
xxiv.republican,available,56,5%,4,Mathematics,,,
triad.republican,available,56,15%,5,Arts,,,
fortyone.republican,available,56,4%,9,Mathematics,,,
admittable.republican,available,56,1%,10,"Education,Healthcare,Hospitality",,,
appressed.republican,available,56,0%,9,"Agriculture,Manufacturing,Retail",,,
xlvi.republican,available,56,3%,4,Mathematics,,,
potbellied.republican,available,56,0%,10,"Health and Fitness,Medicine",,,
lvi.republican,available,56,8%,3,Mathematics,,,
thirtytwo.republican,available,56,5%,10,Mathematics,,,
xlii.republican,available,56,5%,4,Mathematics,,,
admittible.republican,available,56,1%,10,"Education,Healthcare,Hospitality",,,
lvii.republican,available,56,1%,4,Mathematics,,,
maledict.republican,available,56,1%,8,Religion,,,
addled.republican,available,56,2%,6,Entertainment,,,
liii.republican,available,56,4%,4,Mathematics,,,
fiftytwo.republican,available,56,6%,9,Mathematics,,,
fiftynine.republican,available,56,4%,10,Mathematics,,,
accoutered.republican,available,56,0%,10,"Fashion,Manufacturing,Retail",,,
abdominous.republican,available,56,0%,10,"Health and Fitness,Medicine",,,
xxxi.republican,available,56,9%,4,Mathematics,,,
xlv.republican,available,56,6%,3,Mathematics,,,
xxxvi.republican,available,56,1%,5,Mathematics,,,
fortynine.republican,available,56,3%,10,Mathematics,,,
xlviii.republican,available,56,1%,6,Mathematics,,,
xliv.republican,available,56,2%,4,Mathematics,,,
fortysix.republican,available,56,3%,9,Mathematics,,,
terzetto.republican,available,56,3%,8,Arts,,,
xli.republican,available,56,5%,3,Mathematics,,,
xlvii.republican,available,56,2%,5,Mathematics,,,
halfdozen.republican,available,56,1%,10,Mathematics,,,
xxxiii.republican,available,56,2%,6,Mathematics,,,
xxxv.republican,available,56,4%,4,Mathematics,,,
xxviii.republican,available,56,1%,6,Mathematics,,,
fiftyfive.republican,available,56,7%,10,Mathematics,,,
fiftyone.republican,available,56,7%,9,Mathematics,,,
topnotch.republican,available,54,18%,8,Business,,,
viii.republican,available,54,6%,4,Mathematics,,,
